State,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,2016 Total Votes Cast,Raw Votes vs. 2016 ,Final?
Maryland,1,R+14,Andy Harris,R,116631,183662,5893,38.10%,60.00%,1.90%,-21.90%,-25.10%,3.20%,"367,987",83.20%,x
Maryland,2,D+11,Dutch Ruppersberger,D,167201,77782,8319,66.00%,30.70%,3.30%,35.30%,21.00%,14.30%,"313,406",80.80%,x
Maryland,3,D+13,John Sarbanes,D,202407,82774,7699,69.10%,28.30%,2.60%,40.80%,30.90%,9.90%,"345,565",84.80%,x
Maryland,4,D+28,Anthony Brown,D,209642,53327,5614,78.10%,19.90%,2.10%,58.20%,57.10%,1.10%,"325,668",82.50%,x
Maryland,5,D+16,Steny Hoyer,D,213796,82361,8052,70.30%,27.10%,2.60%,43.20%,33.80%,9.40%,"365,068",83.30%,x
Maryland,6,D+6,David Trone,D,163346,105209,8529,59.00%,38.00%,3.10%,21.00%,15.40%,5.60%,"337,363",82.10%,x
Maryland,7,D+26,Elijah Cummings,D,202345,56266,6099,76.40%,21.30%,2.30%,55.20%,52.50%,2.70%,"323,954",81.70%,x
Maryland,8,D+14,Jamie Raskin,D,217679,96525,5126,68.20%,30.20%,1.60%,37.90%,33.30%,4.60%,"369,004",86.50%,x
Massachusetts,1,D+12,Richard Neal,D,211790,0,5110,97.60%,0.00%,2.40%,97.60%,20.30%,N/A,"344,412",63.00%,x
Massachusetts,2,D+9,Jim McGovern,D,191332,93391,170,67.20%,32.80%,0.10%,34.40%,19.00%,15.40%,"357,395",79.70%,x
Massachusetts,3,D+9,Lori Trahan,D,173175,93445,12707,62.00%,33.50%,4.50%,28.50%,22.50%,6.00%,"354,367",78.80%,x
Massachusetts,4,D+9,Joe Kennedy,D,245289,0,5727,97.70%,0.00%,2.30%,97.70%,23.70%,N/A,"388,652",64.60%,x
Massachusetts,5,D+18,Katherine Clark,D,236243,74856,225,75.90%,24.00%,0.10%,51.80%,42.90%,8.90%,"379,720",82.00%,x
Massachusetts,6,D+6,Seth Moulton,D,217703,104798,11474,65.20%,31.40%,3.40%,33.80%,17.60%,16.20%,"407,896",81.90%,x
Massachusetts,7,D+34,Ayanna Pressley,D,216559,0,3852,98.30%,0.00%,1.70%,98.30%,71.20%,N/A,"306,116",72.00%,x
Massachusetts,8,D+10,Stephen Lynch,D,259159,0,4148,98.40%,0.00%,1.60%,98.40%,25.60%,N/A,"389,135",67.70%,x
Massachusetts,9,D+4,Bill Keating,D,192347,131463,118,59.40%,40.60%,0.00%,18.80%,10.60%,8.20%,"397,353",81.50%,x
Michigan,1,R+9,Jack Bergman,R,145246,187251,0,43.70%,56.30%,0.00%,-12.60%,-21.30%,8.70%,"364,608",91.20%,x
Michigan,2,R+9,Bill Huizenga,R,131254,168970,5239,43.00%,55.30%,1.70%,-12.30%,-17.30%,5.00%,"350,571",87.10%,x
Michigan,3,R+6,Justin Amash,R,134185,169107,7448,43.20%,54.40%,2.40%,-11.20%,-9.40%,-1.80%,"349,707",88.90%,x
Michigan,4,R+10,John Moolenaar,R,106540,178510,0,37.40%,62.60%,0.00%,-25.20%,-24.80%,-0.40%,"328,832",86.70%,x
Michigan,5,D+5,Daniel Kildee,D,164502,99265,12646,59.50%,35.90%,4.60%,23.60%,4.30%,19.30%,"327,971",84.30%,x
Michigan,6,R+4,Fred Upton,R,134082,147436,11920,45.70%,50.20%,4.10%,-4.60%,-8.40%,3.80%,"332,772",88.20%,x
Michigan,7,R+7,Tim Walberg,R,136330,158730,0,46.20%,53.80%,0.00%,-7.60%,-17.00%,9.40%,"340,831",86.60%,x
Michigan,8,R+4,Elissa Slotkin,D,172880,159782,8931,50.60%,46.80%,2.60%,3.80%,-6.70%,10.50%,"377,432",90.50%,x
Michigan,9,D+4,Andy Levin,D,181734,112123,10706,59.70%,36.80%,3.50%,22.90%,7.70%,15.20%,"355,063",85.80%,x
Michigan,10,R+13,Paul Mitchell,R,106061,182808,14195,35.00%,60.30%,4.70%,-25.30%,-32.20%,6.90%,"357,907",84.70%,x
Michigan,11,R+4,Haley Stevens,D,181912,158463,10526,51.80%,45.20%,3.00%,6.70%,-4.40%,11.10%,"392,959",89.30%,x
Michigan,12,D+14,Debbie Dingell,D,200588,85115,8925,68.10%,28.90%,3.00%,39.20%,26.20%,13.00%,"340,042",86.60%,x
Michigan,13,D+32,Rashida Tlaib,D,165355,0,30944,84.20%,0.00%,15.80%,84.20%,60.60%,N/A,"265,457",73.90%,x
Michigan,14,D+30,Brenda Lawrence,D,214334,45899,4761,80.90%,17.30%,1.80%,63.60%,60.90%,2.70%,"318,900",83.10%,x
Minnesota,1,R+5,Jim Hagedorn,R,144885,146200,576,49.70%,50.10%,0.20%,-0.50%,-14.80%,14.30%,"343,735",84.90%,x
Minnesota,2,R+2,Angie Craig ,D,177958,159344,666,52.70%,47.10%,0.20%,5.50%,-1.20%,6.70%,"381,647",88.60%,x
Minnesota,3,D+1,Dean Phillips,D,202404,160839,706,55.60%,44.20%,0.20%,11.40%,9.40%,2.00%,"401,670",90.60%,x
Minnesota,4,D+14,Betty McCollum,D,216865,97747,14003,66.00%,29.70%,4.30%,36.20%,30.60%,5.60%,"367,654",89.40%,x
Minnesota,5,D+26,Ilhan Omar,D,267703,74440,1215,78.00%,21.70%,0.40%,56.30%,54.70%,1.60%,"374,560",91.70%,x
Minnesota,6,R+12,Tom Emmer,R,122332,192931,463,38.70%,61.10%,0.10%,-22.40%,-25.50%,3.10%,"373,920",84.40%,x
Minnesota,7,R+12,Collin Peterson,D,146672,134668,169,52.10%,47.80%,0.10%,4.30%,-30.50%,34.80%,"339,286",83.00%,x
Minnesota,8,R+4,Pete Stauber,R,141950,159364,12897,45.20%,50.70%,4.10%,-5.50%,-15.50%,10.00%,"362,341",86.70%,x
Mississippi,1,R+16,Trent Kelly,R,76601,158245,1675,32.40%,66.90%,0.70%,-34.50%,-33.00%,-1.50%,"310,621",76.10%,x
Mississippi,2,D+14,Bennie Thompson,D,158921,0,62458,71.80%,0.00%,28.20%,71.80%,28.40%,N/A,"291,419",76.00%,x
Mississippi,3,R+13,Michael Guest,R,94461,160284,2526,36.70%,62.30%,1.00%,-25.60%,-24.50%,-1.10%,"323,862",79.40%,x
Mississippi,4,R+21,Steven Palazzo,R,68787,152633,2312,30.70%,68.20%,1.00%,-37.50%,-41.10%,3.60%,"283,455",78.90%,x
Missouri,1,D+29,Lacy Clay,D,219781,45867,8727,80.10%,16.70%,3.20%,63.40%,58.00%,5.40%,"320,522",85.60%,x
Missouri,2,R+8,Ann Wagner,R,177611,192477,5978,47.20%,51.20%,1.60%,-4.00%,-10.30%,6.30%,"421,541",89.20%,x
Missouri,3,R+18,Blaine Luetkemeyer,R,106589,211243,6776,32.80%,65.10%,2.10%,-32.20%,-39.00%,6.80%,"378,693",85.70%,x
Missouri,4,R+17,Vicky Hartzler,R,95968,190138,7210,32.70%,64.80%,2.50%,-32.10%,-35.80%,3.70%,"341,135",86.00%,x
Missouri,5,D+7,Emanuel Cleaver,D,175019,101069,7697,61.70%,35.60%,2.70%,26.10%,14.80%,11.30%,"327,471",86.70%,x
Missouri,6,R+16,Sam Graves,R,97660,199796,7953,32.00%,65.40%,2.60%,-33.40%,-32.30%,-1.10%,"356,840",85.60%,x
Missouri,7,R+23,Billy Long,R,89190,196343,10922,30.10%,66.20%,3.70%,-36.10%,-45.50%,9.40%,"343,078",86.40%,x
Missouri,8,R+24,Jason Smith,R,66151,194042,4206,25.00%,73.40%,1.60%,-48.40%,-54.20%,5.80%,"318,514",83.00%,x
Montana,AL,R+11,Greg Gianforte,R,233284,256661,14476,46.20%,50.90%,2.90%,-4.60%,-20.40%,15.80%,"497,119",101.50%,x
Nebraska,1,R+11,Jeff Fortenberry,R,93069,141712,0,39.60%,60.40%,0.00%,-20.70%,-20.70%,0.00%,"282,363",83.10%,x
Nebraska,2,R+4,Don Bacon,R,121770,126715,0,49.00%,51.00%,0.00%,-2.00%,-2.20%,0.20%,"291,680",85.20%,x
Nebraska,3,R+27,Adrian Smith,R,49654,163650,0,23.30%,76.70%,0.00%,-53.40%,-54.20%,0.80%,"270,185",78.90%,x
Nevada,1,D+15,Dina Titus,D,100707,46978,4516,66.20%,30.90%,3.00%,35.30%,29.00%,6.30%,"196,841",77.30%,x
Nevada,2,R+7,Mark Amodei,R,120102,167435,0,41.80%,58.20%,0.00%,-16.50%,-12.40%,-4.10%,"326,011",88.20%,x
Nevada,3,R+2,Susie Lee,D,148501,122566,15101,51.90%,42.80%,5.30%,9.10%,-1.00%,10.10%,"325,601",87.90%,x
Nevada,4,D+3,Steven Horsford ,D,121962,102748,10158,51.90%,43.70%,4.30%,8.20%,4.90%,3.30%,"276,932",84.80%,x
New Hampshire,1,R+2,Chris Pappas ,D,155891,131015,4160,53.60%,45.00%,1.40%,8.50%,-1.60%,10.10%,"377,574",77.10%,x
New Hampshire,2,D+2,Annie Kuster,D,154378,118670,6357,55.30%,42.50%,2.30%,12.80%,2.40%,10.40%,"366,722",76.20%,x
New Jersey,1,D+13,Donald Norcross,D,169628,87617,6173,64.40%,33.30%,2.30%,31.10%,24.50%,6.60%,"329,187",80.00%,x
New Jersey,2,R+1,Jeff Van Drew,D,136685,116866,4812,52.90%,45.20%,1.90%,7.70%,-4.60%,12.30%,"321,018",80.50%,x
New Jersey,3,R+2,Andy Kim,D,153473,149500,3902,50.00%,48.70%,1.30%,1.30%,-6.20%,7.50%,"365,276",84.00%,x
New Jersey,4,R+8,Chris Smith,R,126766,163065,4517,43.10%,55.40%,1.50%,-12.30%,-14.80%,2.50%,"356,593",82.50%,x
New Jersey,5,R+3,Josh Gottheimer,D,169546,128255,4022,56.20%,42.50%,1.30%,13.70%,-1.10%,14.80%,"364,545",82.80%,x
New Jersey,6,D+9,Frank Pallone,D,140752,80443,0,63.60%,36.40%,0.00%,27.30%,15.60%,11.70%,"289,650",76.40%,x
New Jersey,7,R+3,Tom Malinowski,D,166985,150785,4972,51.70%,46.70%,1.50%,5.00%,1.10%,3.90%,"371,585",86.90%,x
New Jersey,8,D+27,Albio Sires,D,119881,28725,4849,78.10%,18.70%,3.20%,59.40%,54.20%,5.20%,"229,953",66.70%,x
New Jersey,9,D+16,Bill Pascrell,D,140832,57854,1730,70.30%,28.90%,0.90%,41.40%,31.20%,10.20%,"276,523",72.50%,x
New Jersey,10,D+36,Donald Payne Jr.,D,175253,20191,4715,87.60%,10.10%,2.40%,77.50%,72.40%,5.10%,"274,361",73.00%,x
New Jersey,11,R+3,Mikie Sherrill,D,183684,136322,3568,56.80%,42.10%,1.10%,14.60%,-0.90%,15.50%,"380,521",85.00%,x
New Jersey,12,D+16,Bonnie Watson Coleman,D,173334,79041,0,68.70%,31.30%,0.00%,37.40%,33.20%,4.20%,"314,721",80.20%,x
New Mexico,1,D+7,Deb Haaland,D,147336,90507,11319,59.10%,36.30%,4.50%,22.80%,16.50%,6.30%,"285,170",87.40%,x
New Mexico,2,R+6,Xochitl Torres Small,D,101489,97767,0,50.90%,49.10%,0.00%,1.90%,-10.20%,12.10%,"234,090",85.10%,x
New Mexico,3,D+8,Ben R. Lujan,D,155201,76427,13265,63.40%,31.20%,5.40%,32.20%,15.20%,17.00%,"279,058",87.80%,x
New York,1,R+5,Lee Zeldin,R,127991,139027,2988,47.40%,51.50%,1.10%,-4.10%,-12.20%,8.10%,"339,160",79.60%,x
New York,2,R+3,Peter King,R,113074,128058,0,46.90%,53.10%,0.00%,-6.20%,-8.90%,2.70%,"315,405",76.50%,x
New York,3,D+1,Tom Suozzi,D,157456,109514,0,59.00%,41.00%,0.00%,18.00%,6.10%,11.90%,"348,146",76.70%,x
New York,4,D+4,Kathleen Rice,D,159535,100571,0,61.30%,38.70%,0.00%,22.70%,9.50%,13.20%,"339,434",76.60%,x
New York,5,D+37,Gregory Meeks,D,160500,0,0,100.00%,0.00%,0.00%,100.00%,72.80%,N/A,"247,766",64.80%,x
New York,6,D+16,Grace Meng,D,111646,0,11209,90.90%,0.00%,9.10%,90.90%,32.80%,N/A,"208,665",58.90%,x
New York,7,D+38,Nydia Velazquez,D,146687,0,10410,93.40%,0.00%,6.60%,93.40%,76.10%,N/A,"205,733",76.40%,x
New York,8,D+36,Hakeem Jeffries,D,180376,0,11028,94.20%,0.00%,5.80%,94.20%,70.80%,N/A,"256,102",74.70%,x
New York,9,D+34,Yvette Clarke,D,181455,20901,779,89.30%,10.30%,0.40%,79.00%,68.60%,10.40%,"255,357",79.50%,x
New York,10,D+26,Jerrold Nadler,D,173095,37619,0,82.10%,17.90%,0.00%,64.30%,58.90%,5.40%,"264,801",79.60%,x
New York,11,R+3,Max Rose,D,101823,89441,774,53.00%,46.60%,0.40%,6.40%,-9.80%,16.20%,"250,083",76.80%,x
New York,12,D+31,Carolyn Maloney,D,217430,30446,3726,86.40%,12.10%,1.50%,74.30%,69.00%,5.30%,"310,302",81.10%,x
New York,13,D+43,Adriano Espaillat,D,180035,10268,0,94.60%,5.40%,0.00%,89.20%,86.40%,2.80%,"253,675",75.00%,x
New York,14,D+29,Alexandria Ocasio-Cortez,D,110318,19202,11604,78.20%,13.60%,8.20%,64.60%,57.60%,7.00%,"195,883",72.00%,x
New York,15,D+44,Jose E. Serrano,D,124469,5205,0,96.00%,4.00%,0.00%,92.00%,88.60%,3.40%,"191,894",67.60%,x
New York,16,D+24,Eliot Engel,D,182044,0,0,100.00%,0.00%,0.00%,100.00%,52.20%,N/A,"285,395",63.80%,x
New York,17,D+7,Nita Lowey,D,170168,0,23150,88.00%,0.00%,12.00%,88.00%,20.00%,N/A,"321,208",60.20%,x
New York,18,R+1,Sean Patrick Maloney,D,139564,112035,0,55.50%,44.50%,0.00%,10.90%,-2.00%,12.90%,"312,199",80.60%,x
New York,19,R+2,Antonio Delgado,D,147873,132873,7148,51.40%,46.20%,2.50%,5.20%,-6.80%,12.00%,"322,826",89.20%,x
New York,20,D+7,Paul Tonko,D,176811,89058,0,66.50%,33.50%,0.00%,33.00%,13.30%,19.70%,"329,220",80.80%,x
New York,21,R+4,Elise Stefanik,R,99791,131981,3437,42.40%,56.10%,1.50%,-13.70%,-13.70%,0.00%,"283,447",83.00%,x
New York,22,R+6,Anthony Brindisi,D,127715,123242,0,50.90%,49.10%,0.00%,1.80%,-15.30%,17.10%,"293,033",85.60%,x
New York,23,R+6,Tom Reed,R,109932,130323,0,45.80%,54.20%,0.00%,-8.50%,-14.70%,6.20%,"293,287",81.90%,x
New York,24,D+3,John Katko,R,123226,136920,0,47.40%,52.60%,0.00%,-5.30%,3.60%,-8.90%,"310,431",83.80%,x
New York,25,D+8,Joe Morelle,D,159244,110736,0,59.00%,41.00%,0.00%,18.00%,16.20%,1.80%,"333,384",81.00%,x
New York,26,D+11,Brian Higgins,D,169166,61488,5,73.30%,26.70%,0.00%,46.70%,19.60%,27.10%,"305,135",75.60%,x
New York,27,R+11,Chris Collins,R,139059,140146,5973,48.80%,49.10%,2.10%,-0.40%,-24.30%,23.90%,"348,933",81.70%,x
North Carolina,1,D+17,G.K. Butterfield,D,190457,82218,0,69.80%,30.20%,0.00%,39.70%,37.40%,2.30%,"361,229",75.50%,
North Carolina,2,R+7,George Holding,R,151977,170072,9655,45.80%,51.30%,2.90%,-5.50%,-11.50%,6.00%,"397,196",83.50%,
North Carolina,3,R+12,Walter Jones,R,0,187901,0,0.00%,100.00%,0.00%,-100.00%,-24.00%,N/A,"330,774",56.80%,
North Carolina,4,D+17,David Price,D,247067,82052,12284,72.40%,24.00%,3.60%,48.30%,40.30%,8.00%,"423,656",80.60%,
North Carolina,5,R+10,Virginia Foxx,R,120462,159915,0,43.00%,57.00%,0.00%,-14.10%,-17.30%,3.20%,"362,862",77.30%,
North Carolina,6,R+9,Mark Walker,R,123651,160709,0,43.50%,56.50%,0.00%,-13.00%,-14.60%,1.60%,"362,448",78.50%,
North Carolina,7,R+9,David Rouzer,R,120838,156809,4665,42.80%,55.50%,1.70%,-12.70%,-17.70%,5.00%,"361,079",78.20%,
North Carolina,8,R+8,Richard Hudson,R,114119,141402,0,44.70%,55.30%,0.00%,-10.70%,-14.80%,4.10%,"334,724",76.30%,
North Carolina,9,R+8,,,138341,139246,5130,48.90%,49.30%,1.80%,-0.30%,-12.00%,11.70%,"347,478",81.40%,
North Carolina,10,R+12,Patrick McHenry,R,113259,164969,0,40.70%,59.30%,0.00%,-18.60%,-24.00%,5.40%,"361,149",77.00%,
North Carolina,11,R+14,Mark Meadows,R,116508,178012,6146,38.70%,59.20%,2.00%,-20.50%,-29.10%,8.60%,"368,712",81.50%,
North Carolina,12,D+18,Alma Adams,D,203974,75164,0,73.10%,26.90%,0.00%,46.10%,39.80%,6.30%,"362,147",77.10%,
North Carolina,13,R+6,Ted Budd,R,130402,147570,8344,45.50%,51.50%,2.90%,-6.00%,-9.20%,3.20%,"368,114",77.80%,
North Dakota,AL,R+16,Kelly Armstrong,R,114377,193568,13587,35.60%,60.20%,4.20%,-24.60%,-35.70%,11.10%,"344,360",93.40%,x
Ohio,1,R+5,Steve Chabot,R,141118,154409,5344,46.90%,51.30%,1.80%,-4.40%,-6.60%,2.20%,"362,141",83.10%,x
Ohio,2,R+9,Brad Wenstrup,R,119333,166714,3614,41.20%,57.60%,1.20%,-16.40%,-16.00%,-0.40%,"355,991",81.40%,x
Ohio,3,D+19,Joyce Beatty,D,181575,65040,62,73.60%,26.40%,0.00%,47.20%,38.90%,8.30%,"314,301",78.50%,x
Ohio,4,R+14,Jim Jordan,R,89412,167993,0,34.70%,65.30%,0.00%,-30.50%,-33.40%,2.90%,"326,550",78.80%,x
Ohio,5,R+11,Bob Latta,R,99655,176569,7393,35.10%,62.30%,2.60%,-27.10%,-24.90%,-2.20%,"361,856",78.40%,x
Ohio,6,R+16,Bill Johnson,R,76716,172774,0,30.70%,69.30%,0.00%,-38.50%,-42.30%,3.80%,"322,137",77.40%,x
Ohio,7,R+12,Bob Gibbs,R,107536,153117,0,41.30%,58.70%,0.00%,-17.50%,-29.60%,12.10%,"329,676",79.10%,x
Ohio,8,R+17,Warren Davidson,R,87281,173852,0,33.40%,66.60%,0.00%,-33.20%,-34.30%,1.10%,"345,230",75.60%,x
Ohio,9,D+14,Marcy Kaptur,D,157219,74670,48,67.80%,32.20%,0.00%,35.60%,22.20%,13.40%,"301,656",76.90%,x
Ohio,10,R+4,Mike Turner,R,118785,157554,5387,42.20%,55.90%,1.90%,-13.80%,-7.20%,-6.60%,"350,299",80.40%,x
Ohio,11,D+32,Marcia Fudge,D,206138,44486,36,82.20%,17.70%,0.00%,64.50%,63.50%,1.00%,"323,308",77.50%,x
Ohio,12,R+7,Troy Balderson,R,161251,175677,4719,47.20%,51.40%,1.40%,-4.20%,-11.40%,7.20%,"388,602",87.90%,x
Ohio,13,D+7,Tim Ryan,D,153323,98047,0,61.00%,39.00%,0.00%,22.00%,6.50%,15.50%,"319,864",78.60%,x
Ohio,14,R+5,David Joyce,R,137549,169809,0,44.80%,55.20%,0.00%,-10.50%,-11.40%,0.90%,"370,746",82.90%,x
Ohio,15,R+7,Steve Stivers,R,116112,170593,5738,39.70%,58.30%,2.00%,-18.60%,-15.60%,-3.00%,"356,990",81.90%,x
Ohio,16,R+8,Anthony Gonzalez,R,129681,170029,0,43.30%,56.70%,0.00%,-13.50%,-16.60%,3.10%,"369,434",81.10%,x
Oklahoma,1,R+17,Kevin Hern,R,103042,150129,0,40.70%,59.30%,0.00%,-18.60%,-28.80%,10.20%,"311,506",81.30%,x
Oklahoma,2,R+24,Markwayne Mullin,R,65021,140451,10530,30.10%,65.00%,4.90%,-34.90%,-50.10%,15.20%,"271,844",79.50%,x
Oklahoma,3,R+27,Frank Lucas,R,61152,172913,0,26.10%,73.90%,0.00%,-47.70%,-52.80%,5.10%,"293,417",79.80%,x
Oklahoma,4,R+20,Tom Cole,R,78088,149227,9323,33.00%,63.10%,3.90%,-30.10%,-37.20%,7.10%,"295,464",80.10%,x
Oklahoma,5,R+10,Kendra Horn,D,121149,117811,0,50.70%,49.30%,0.00%,1.40%,-13.70%,15.10%,"280,761",85.10%,x
Oregon,1,D+9,Suzanne Bonamici,D,231198,116446,15605,63.60%,32.10%,4.30%,31.60%,21.90%,9.70%,"398,968",91.00%,x
Oregon,2,R+11,Greg Walden,R,145298,207597,15814,39.40%,56.30%,4.30%,-16.90%,-19.40%,2.50%,"394,121",93.60%,x
Oregon,3,D+24,Earl Blumenauer,D,279019,76187,29120,72.60%,19.80%,7.60%,52.80%,46.70%,6.10%,"412,761",93.10%,x
Oregon,4,EVEN,Peter DeFazio,D,208710,152414,11769,56.00%,40.90%,3.20%,15.10%,0.10%,15.00%,"406,334",91.80%,x
Oregon,5,EVEN,Kurt Schrader,D,197187,149887,11395,55.00%,41.80%,3.20%,13.20%,4.10%,9.10%,"389,153",92.10%,x
Pennsylvania,1,R+1,Brian Fitzpatrick,R,160745,169053,0,48.70%,51.30%,0.00%,-2.50%,2.00%,-4.50%,"385,727",85.50%,x
Pennsylvania,2,D+25,Brendan Boyle,D,159600,42382,0,79.00%,21.00%,0.00%,58.00%,48.00%,10.00%,"283,972",71.10%,x
Pennsylvania,3,D+41,Dwight Evans,D,287610,20387,0,93.40%,6.60%,0.00%,86.80%,83.90%,2.90%,"373,594",82.40%,x
Pennsylvania,4,D+7,Madeleine Dean,D,211524,121467,0,63.50%,36.50%,0.00%,27.00%,19.40%,7.60%,"382,477",87.10%,x
Pennsylvania,5,D+13,Mary Gay Scanlon,D,198639,106075,0,65.20%,34.80%,0.00%,30.40%,28.20%,2.20%,"367,453",82.90%,x
Pennsylvania,6,D+2,Chrissy Houlahan,D,177704,124124,0,58.90%,41.10%,0.00%,17.80%,9.30%,8.50%,"353,374",85.40%,x
Pennsylvania,7,D+1,Susan Wild,D,140813,114437,8011,53.50%,43.50%,3.00%,10.00%,1.10%,8.90%,"329,510",79.90%,x
Pennsylvania,8,R+1,Matt Cartwright,D,135603,112563,0,54.60%,45.40%,0.00%,9.30%,-9.50%,18.80%,"310,154",80.00%,x
Pennsylvania,9,R+14,Dan Meuser,R,100204,148723,0,40.30%,59.70%,0.00%,-19.50%,-34.00%,14.50%,"315,463",78.90%,x
Pennsylvania,10,R+6,Scott Perry,R,141668,149365,0,48.70%,51.30%,0.00%,-2.60%,-8.90%,6.30%,"346,108",84.10%,x
Pennsylvania,11,R+14,Lloyd Smucker,R,113876,163708,0,41.00%,59.00%,0.00%,-18.00%,-25.80%,7.80%,"332,899",83.40%,x
Pennsylvania,12,R+17,Tom Marino,R,82825,161047,0,34.00%,66.00%,0.00%,-32.10%,-36.50%,4.40%,"306,841",79.50%,x
Pennsylvania,13,R+22,John Joyce,R,74733,178533,0,29.50%,70.50%,0.00%,-41.00%,-45.50%,4.50%,"319,516",79.30%,x
Pennsylvania,14,R+14,Guy Reschenthaler,R,110051,151386,0,42.10%,57.90%,0.00%,-15.80%,-29.00%,13.20%,"333,028",78.50%,x
Pennsylvania,15,R+20,Glenn Thompson,R,78327,165245,0,32.20%,67.80%,0.00%,-35.70%,-43.40%,7.70%,"308,943",78.80%,x
Pennsylvania,16,R+8,Mike Kelly,R,124109,135348,2939,47.30%,51.60%,1.10%,-4.30%,-19.90%,15.60%,"323,079",81.20%,x
Pennsylvania,17,R+3,Conor Lamb,D,183162,142417,0,56.30%,43.70%,0.00%,12.50%,-2.50%,15.00%,"380,743",85.50%,x
Pennsylvania,18,D+13,Mike Doyle,D,231472,0,0,100.00%,0.00%,0.00%,100.00%,26.80%,N/A,"361,913",64.00%,x
Rhode Island,1,D+14,David Cicilline,D,116099,57567,417,66.70%,33.10%,0.20%,33.60%,24.90%,8.70%,"219,493",79.30%,x
Rhode Island,2,D+6,Jim Langevin,D,126476,72271,450,63.50%,36.30%,0.20%,27.20%,6.80%,20.40%,"243,211",81.90%,x
South Carolina,1,R+10,Joe Cunningham,D,145455,141473,505,50.60%,49.20%,0.20%,1.40%,-12.70%,14.10%,"336,570",85.40%,x
South Carolina,2,R+12,Joe Wilson,R,109199,144642,3298,42.50%,56.30%,1.30%,-13.80%,-18.60%,4.80%,"311,355",82.60%,x
South Carolina,3,R+19,Jeff Duncan,R,70046,153338,2820,31.00%,67.80%,1.20%,-36.80%,-38.00%,1.20%,"283,968",79.70%,x
South Carolina,4,R+15,William Timmons,R,89182,145321,9447,36.60%,59.60%,3.90%,-23.00%,-25.60%,2.60%,"303,659",80.30%,x
South Carolina,5,R+9,Ralph Norman,R,103129,141757,3693,41.50%,57.00%,1.50%,-15.50%,-18.50%,3.00%,"306,561",81.10%,x
South Carolina,6,D+19,Jim Clyburn,D,144765,58282,3386,70.10%,28.20%,1.60%,41.90%,37.40%,4.50%,"264,993",77.90%,x
South Carolina,7,R+9,Tom Rice,R,95564,142681,309,40.10%,59.80%,0.10%,-19.80%,-18.70%,-1.10%,"299,421",79.70%,x
South Dakota,AL,R+14,Dusty Johnson,R,121033,202695,12237,36.00%,60.30%,3.60%,-24.30%,-29.80%,5.50%,"370,093",90.80%,x
Tennessee,1,R+28,Phil Roe,R,47138,172835,4309,21.00%,77.10%,1.90%,-56.00%,-56.80%,0.80%,"266,419",84.20%,x
Tennessee,2,R+20,Tim Burchett,R,86668,172856,2609,33.10%,65.90%,1.00%,-32.90%,-35.20%,2.30%,"292,087",89.70%,x
Tennessee,3,R+18,Chuck Fleischmann,R,84731,156512,4522,34.50%,63.70%,1.80%,-29.20%,-35.00%,5.80%,"278,072",88.40%,x
Tennessee,4,R+20,Scott DesJarlais,R,78065,147323,7063,33.60%,63.40%,3.00%,-29.80%,-40.90%,11.10%,"278,304",83.50%,x
Tennessee,5,D+7,Jim Cooper,D,177923,84317,8,67.80%,32.20%,0.00%,35.70%,18.20%,17.50%,"279,441",93.80%,x
Tennessee,6,R+24,John Rose,R,70370,172810,5560,28.30%,69.50%,2.20%,-41.20%,-48.80%,7.60%,"299,210",83.10%,x
Tennessee,7,R+20,Mark Green,R,81661,170071,2652,32.10%,66.90%,1.00%,-34.80%,-39.00%,4.20%,"293,684",86.60%,x
Tennessee,8,R+19,David Kustoff,R,74755,168030,5560,30.10%,67.70%,2.20%,-37.60%,-35.40%,-2.20%,"298,758",83.10%,x
Tennessee,9,D+28,Steve Cohen,D,145139,34901,1436,80.00%,19.20%,0.80%,60.70%,57.30%,3.40%,"224,115",81.00%,x
Texas,1,R+25,Louie Gohmert,R,61263,168165,3292,26.30%,72.30%,1.40%,-45.90%,-46.60%,0.70%,"264,551",88.00%,x
Texas,2,R+11,Dan Crenshaw,R,119992,139188,4212,45.60%,52.80%,1.60%,-7.30%,-9.20%,1.90%,"279,891",94.10%,x
Texas,3,R+13,Van Taylor,R,138234,169520,4757,44.20%,54.20%,1.50%,-10.00%,-13.90%,3.90%,"324,304",96.40%,x
Texas,4,R+28,John Ratcliffe,R,57400,188667,3178,23.00%,75.70%,1.30%,-52.70%,-53.20%,0.50%,"281,123",88.70%,x
Texas,5,R+16,Lance Gooden,R,78666,130617,224,37.50%,62.30%,0.10%,-24.80%,-28.30%,3.50%,"233,340",89.80%,x
Texas,6,R+9,Ron Wright,R,116350,135961,3731,45.40%,53.10%,1.50%,-7.70%,-12.20%,4.50%,"276,953",92.40%,x
Texas,7,R+7,Lizzie Fletcher,D,127959,115642,0,52.50%,47.50%,0.00%,5.10%,1.40%,3.70%,"258,953",94.10%,x
Texas,8,R+28,Kevin Brady,R,67930,200619,4621,24.90%,73.40%,1.70%,-48.60%,-48.30%,-0.30%,"298,315",91.60%,x
Texas,9,D+29,Al Green,D,136256,0,16745,89.10%,0.00%,10.90%,89.10%,61.20%,N/A,"191,513",79.90%,x
